State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from Other manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from Other manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Other 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Other 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Other 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Other 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People 5+ with at least One Dose by State of Residence,Percent of 5+ Pop with at least One Dose by State of Residence,People 5+ Fully Vaccinated by State of Residence,Percent of 5+ Pop Fully Vaccinated by State of Residence,People 5+ Fully Vaccinated_Moderna_Resident,People 5+ Fully Vaccinated_Pfizer_Resident,People 5+ Fully Vaccinated_Janssen_Resident,People 5+ Fully Vaccinated_Other 2-dose Manuf_Resident,5+ Doses Administered by State where Administered,Doses Administered per 100k of 5+ pop  by State where Administered,Doses Delivered per 100k of 5+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 50+ who have received a booster dose,Percent of fully vaccinated people 50+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an Other manufacturer,Total Count People w/Booster Primary Pfizer Minus TX,Total Count People w/Booster Primary Moderna Minus TX,Total Count People w/Booster Primary J&J Minus TX,Total Count People w/Booster Primary Other Minus TX,Total Count People w/Booster Booster Pfizer Minus TX,Total Count People w/Booster Booster Moderna Minus TX,Total Count People w/Booster Booster J&J Minus TX,Total Count People w/Booster Booster Other Minus TX,Count People Primary Pfizer Booster Pfizer,Count People Primary Pfizer Booster Moderna,Count People Primary Pfizer Booster J&J,Count People Primary Pfizer Booster Uknown,Count People Primary Moderna Booster Pfizer,Count People Primary Moderna Booster Moderna,Count People Primary Moderna Booster J&J,Count People Primary Moderna Booster Uknown,Count People Primary J&J Booster Pfizer,Count People Primary J&J Booster Moderna,Count People Primary J&J Booster J&J,Count People Primary J&J Booster Other,Count People Primary Other Booster Pfizer,Count People Primary Other Booster Moderna,Count People Primary Other Booster J&J,Count People Primary Other Booster Other,Percent People Primary Pfizer Booster Pfizer,Percent People Primary Pfizer Booster Moderna,Percent People Primary Pfizer Booster J&J,Percent People Primary Pfizer Booster Other,Percent People Primary Moderna Booster Pfizer,Percent People Primary Moderna Booster Moderna,Percent People Primary Moderna Booster J&J,Percent People Primary Moderna Booster Other,Percent People Primary J&J Booster Pfizer,Percent People Primary J&J Booster Moderna,Percent People Primary J&J Booster J&J,Percent People Primary J&J Booster Other,Percent People Primary Other Booster Pfizer,Percent People Primary Other Booster Moderna,Percent People Primary Other Booster J&J,Percent People Primary Other Booster Uknown
Republic of Palau,34190,158787,206175,33854,157226,31215,188235,18058,83.9,16705,99.9,15788,73.3,14495,87.4,7290,23100,3800,0,2334,26820,4700,0,11688,1761,2339,0,11688,468,2339,0,N/A,83.9,N/A,99.9,62.8,12229,73.7,18058,1792,90,1716,86.1,1469,20,227,0,4087,205171,1716370,18056,96.8,15788,84.7,11688,1761,2339,0,33854,181571,183374,18058,88.6,15788,77.5,11688,1761,2339,0,33854,166171,167820,2632,16.7,2632,18.2,1745,31.2,861,50.2,2624,8,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
South Carolina,8300135,161208,205575,6186384,120154,5831984,144444,3100338,60.2,2891534,71.6,2644436,51.4,2495349,61.8,4485295,3407740,407100,0,203895,2410551,3570014,1924,978106,1474740,191263,327,976094,1328261,190669,325,N/A,60.2,N/A,71.6,48.1,2328644,57.7,3100338,908090,96.9,789272,84.2,336667,422498,29913,194,2021373,215723,885798,3063855,69.3,2640580,59.7,978015,1471019,191219,327,6147203,139078,187787,3099203,63.8,2643903,54.4,978031,1474324,191221,327,6184695,127355,170917,548581,20.7,548111,22,460423,31.1,337325,42.7,209690,329084,9459,348,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
South Dakota,1484805,167839,222423,1140967,128973,1062844,159214,589519,66.6,541121,81.1,481463,54.4,452384,67.8,798805,605400,80600,0,36001,454433,650401,132,185721,260600,35118,24,185656,231613,35091,24,N/A,66.6,N/A,81.1,50.8,420696,63,589519,165046,99.9,137732,90.7,68545,64470,4702,15,353237,232590,977675,579238,78.5,481359,65.2,185719,260501,35115,24,1130453,153157,201166,589492,71.6,481455,58.5,185719,260597,35115,24,1140935,138548,180306,110476,22.9,110392,24.4,89924,35,63771,46.3,49007,60359,1109,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tennessee,10212170,149537,191990,8141958,119223,7711550,144978,3873071,56.7,3624465,68.1,3379781,49.5,3206755,60.3,5813910,3936860,461400,0,234403,3118477,4748906,40172,1239050,1914320,216854,9557,1238531,1742170,216582,9472,N/A,56.7,N/A,68.1,46.8,3021234,56.8,3873071,1017019,88.9,932641,81.6,462255,430801,34450,5135,2472304,216225,893146,3832809,65.7,3379355,57.9,1239028,1913968,216807,9552,8100983,138821,174999,3872555,60.3,3379669,52.6,1239035,1914261,216817,9556,8141324,126801,159054,775136,22.9,773943,24.1,618232,34,429510,46.1,318482,445271,9737,1646,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Texas,48860105,168507,226245,37168693,128186,33922498,157077,18563346,64,16693850,77.3,15842958,54.6,14577324,67.5,28465865,18002440,2391800,0,1368488,14010838,21786443,2924,5748292,8859497,1234805,364,5744207,7599490,1233285,342,N/A,64,N/A,77.3,50.8,13476552,62.4,18563346,3446832,92.3,3098649,83,1478424,1450437,169655,133,7967842,213373,1308440,18236173,75.7,15827409,65.7,5747717,8844840,1234489,363,36810233,152733,202730,18559111,68.7,15841885,58.7,5747791,8859171,1234559,364,37163468,137617,180930,2816401,17.8,2811037,19.3,2063302,30.1,1282205,41.4,1248578,1528876,38840,107,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Utah,4969270,155001,218451,4016039,125268,3618852,159086,2048134,63.9,1819434,80,1772762,55.3,1609083,70.7,2969810,1779060,220400,0,160756,1448361,2406628,294,615712,1002305,154736,9,615313,839205,154556,9,N/A,63.9,N/A,80,51,1472226,64.7,2048134,360662,98.6,323862,88.5,138464,169290,16107,1,837441,228889,1358200,2009729,77.5,1772302,68.4,615676,1001918,154699,9,3977136,153424,191697,2047790,69.2,1772683,59.9,615691,1002274,154709,9,4015631,135748,167985,290728,16.4,290118,18,215231,31.8,152165,47,100549,186567,3611,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Virginia,15561375,182313,233141,13075460,153189,11999445,179776,6444314,75.5,5808141,87,5537205,64.9,5115940,76.6,9268435,5589640,703300,0,447766,4710196,7910244,7254,1904006,3212539,417845,2815,1898423,2798930,415965,2622,N/A,75.5,N/A,87,61,4783219,71.7,6444314,1374349,99.9,1209601,89,564818,573577,70331,875,3181611,234130,1145140,6265186,85.7,5521202,75.6,1903832,3197152,417417,2801,12875732,176212,212966,6443055,80.2,5536803,69,1903871,3212364,417755,2813,13073874,162812,193789,1295552,23.4,1294235,25.3,963278,37.3,622715,51.5,558410,716789,20153,200,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Veterans Health,7261410,N/A,N/A,6511414,N/A,6508289,N/A,3220627,N/A,3218861,N/A,2889360,N/A,2887976,N/A,3150030,3518580,592800,0,233492,3301937,2975704,281,1418619,1245685,225045,11,1418559,1244402,225004,11,N/A,N/A,N/A,N/A,0,2677576,0,3220627,1604707,0,1479548,0,808828,596610,74109,1,3479051,0,0,3220516,0,2889286,0,1418597,1245640,225038,11,6511232,0,0,3220530,0,2889290,0,1418597,1245643,225039,11,6511250,0,0,616833,21.3,616826,21.4,587289,25.8,464375,31.4,288674,320540,7619,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Virgin Islands,124260,116907,152453,119374,112310,113505,139258,60068,56.5,56748,69.6,52002,48.9,49468,60.7,88920,33240,2100,0,1831,34979,82564,0,14732,35522,1743,5,14704,33023,1736,5,N/A,56.5,N/A,69.6,47.3,47781,58.6,60068,16523,80.7,14671,71.6,5818,8354,495,4,34022,166139,606798,59741,66.8,51974,58.1,14724,35505,1740,5,119026,133101,138954,60010,60.2,51977,52.2,14725,35507,1740,5,119291,119741,124729,6320,12.2,6316,12.8,5329,17.6,3441,23.5,2079,4205,34,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vermont,1295970,207691,254120,1119023,179334,1037159,203371,532935,85.4,481056,94.3,454670,72.9,424553,83.2,700070,528200,67700,0,48957,443212,625979,875,169185,240153,45070,262,169135,210181,44992,245,N/A,85.4,N/A,94.3,67.7,392187,76.9,532935,137579,99.9,123692,98.9,59689,61364,2486,153,347872,278211,1036450,514920,93.5,454579,82.5,169173,240091,45053,262,1100694,199781,235225,532886,89.6,454662,76.4,169184,240151,45065,262,1118988,188082,217830,157980,34.7,157811,37.2,120970,50,79093,63.9,66749,88745,2472,14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Washington,13915795,182744,233807,11268717,147983,10448672,175554,5520316,72.5,5041057,84.7,4939606,64.9,4606341,77.4,8094755,5138440,682600,0,436798,4257967,6565412,8540,1791308,2723899,421691,2708,1790552,2391776,421366,2647,N/A,72.5,N/A,84.7,60.1,4247147,71.4,5520316,1185246,98,1097565,90.7,500344,539095,56692,1434,2838522,234642,1150330,5412268,83.3,4939006,76,1791251,2723390,421659,2706,11160402,171674,214059,5519760,77.1,4939498,69,1791287,2723837,421667,2707,11268041,157410,194398,1111668,22.5,1110280,24.1,842853,37.7,579018,52.8,470885,625928,14507,348,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Wisconsin,9222535,158397,202433,8186207,140598,7641537,167731,3830306,65.8,3504646,76.9,3462365,59.5,3248406,71.3,5328775,3480960,412800,0,303060,3160374,4721262,1511,1278507,1899029,284315,514,1278172,1685635,284109,490,N/A,65.8,N/A,76.9,55.5,3015231,66.2,3830306,1003042,98.6,943154,92.7,453889,459559,29484,222,2516568,247391,906621,3744912,74.9,3459951,69.2,1278488,1896656,284293,514,8098273,161972,184458,3830077,69.7,3462327,63,1278499,1899014,284300,514,8185953,149054,167929,1002421,29,1001598,30.8,771196,42,528902,56.1,399224,591928,11240,29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
West Virginia,3371505,188127,235345,1690796,94345,1611208,112469,966073,53.9,916361,64,744422,41.5,712433,49.7,1911965,1311640,147900,0,44370,766716,879236,474,323376,374463,46314,269,323072,342875,46241,245,N/A,53.9,N/A,64,39,667370,46.6,966073,332274,90.5,265644,72.4,135192,123067,7273,112,611836,166708,918639,960777,61.7,744074,47.8,323287,374219,46299,269,1685591,108201,216422,965638,56.8,744178,43.8,323292,374317,46300,269,1690074,99467,198426,57752,7.8,57702,8.1,46565,10.2,32659,12.3,18836,38420,483,13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Wyoming,812765,140432,182634,630922,109013,596551,134049,309914,53.5,289327,65,263454,45.5,249736,56.1,410245,359120,43400,0,26555,279322,324476,569,110475,128571,24307,101,110456,114898,24283,99,N/A,53.5,N/A,65,41.7,227932,51.2,309914,89083,89.8,80291,81,40887,35644,3713,47,205145,206843,819493,306341,62.4,263434,53.7,110474,128555,24304,101,627371,127847,165627,309892,57,263449,48.4,110474,128569,24305,101,630897,116010,149453,68188,25.9,68086,27.3,55948,38.3,40322,50.2,29699,37640,820,29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
